"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
25,015,Hispanic,2.4%,4.9%,2.9%,7,12,5,,,,,,,,,,
25,015,Non-Hispanic,17.9%,22.4%,54.1%,52,55,92,,,,,,,,,,
25,015,Unknown/Missing,79.7%,72.7%,42.9%,231,178,73,,,,,,,,,,
25,017,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
25,017,Non-Hispanic,0.0%,16.7%,80.0%,0,1,8,,,,,,,,,,
25,017,Unknown/Missing,100.0%,83.3%,20.0%,4,5,2,,,,,,,,,,
25,023,Hispanic,0.8%,4.0%,5.8%,1,5,6,,,,,,,,,,
25,023,Non-Hispanic,46.0%,56.3%,86.4%,57,71,89,,,,,,,,,,
25,023,Unknown/Missing,53.2%,39.7%,7.8%,66,50,8,,,,,,,,,,
25,045,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
25,045,Non-Hispanic,40.7%,46.2%,92.3%,11,12,24,,,,,,,,,,
25,045,Unknown/Missing,59.3%,53.8%,7.7%,16,14,2,,,,,,,,,,
25,091,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
25,091,Non-Hispanic,20.0%,15.4%,66.7%,1,2,2,,,,,,,,,,
25,091,Unknown/Missing,80.0%,84.6%,33.3%,4,11,1,,,,,,,,,,
25,163,Hispanic,3.7%,0.8%,1.0%,5,1,1,,,,,,,,,,
25,163,Non-Hispanic,28.1%,46.7%,87.1%,38,57,88,,,,,,,,,,
25,163,Unknown/Missing,68.1%,52.5%,11.9%,92,64,12,,,,,,,,,,
25,530,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
25,530,Non-Hispanic,19.5%,28.8%,75.0%,16,19,33,,,,,,,,,,
25,530,Unknown/Missing,80.5%,71.2%,25.0%,66,47,11,,,,,,,,,,
25,580,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
25,580,Non-Hispanic,46.3%,49.0%,93.9%,25,25,31,,,,,,,,,,
25,580,Unknown/Missing,53.7%,51.0%,6.1%,29,26,2,,,,,,,,,,
25,678,Hispanic,5.9%,0.0%,0.0%,1,0,0,,,,,,,,,,
25,678,Non-Hispanic,11.8%,25.0%,100.0%,2,3,10,,,,,,,,,,
25,678,Unknown/Missing,82.4%,75.0%,0.0%,14,9,0,,,,,,,,,,
25,790,Hispanic,6.8%,2.6%,0.7%,13,4,1,,,,,,,,,,
25,790,Non-Hispanic,25.3%,28.6%,68.9%,48,44,93,,,,,,,,,,
25,790,Unknown/Missing,67.9%,68.8%,30.4%,129,106,41,,,,,,,,,,
25,820,Hispanic,5.8%,6.3%,7.1%,13,12,6,,,,,,,,,,
25,820,Non-Hispanic,13.0%,15.3%,48.2%,29,29,41,,,,,,,,,,
25,820,Unknown/Missing,81.2%,78.3%,44.7%,181,148,38,,,,,,,,,,
26,043,Hispanic,10.0%,13.3%,0.0%,2,4,0,,,,,,,,,,
26,043,Non-Hispanic,10.0%,26.7%,57.9%,2,8,11,,,,,,,,,,
26,043,Unknown/Missing,80.0%,60.0%,42.1%,16,18,8,,,,,,,,,,
26,069,Hispanic,7.0%,12.1%,10.0%,20,36,20,,,,,,,,,,
26,069,Non-Hispanic,12.9%,22.6%,35.3%,37,67,71,,,,,,,,,,
26,069,Unknown/Missing,80.1%,65.3%,54.7%,229,194,110,,,,,,,,,,
26,139,Hispanic,2.3%,2.7%,0.9%,4,3,1,,,,,,,,,,
